"","Player","G","GS","QBrec","Cmp","Att","Cmp%","Yds","TD.x","TD%","Int","Int%","Lng","Y/A","AY/A","Y/C","Y/G","Rate","Sk.x","Sk_Yds","NY/A","ANY/A","Sk%","4QC","GWD","FF","Fmb","FR","FmYds","TD.y","Coll.Comp","Coll.Att","Coll.TD","Coll.Int","Coll.Yds","Coll.Fum","Coll.FumL","Coll.Comp.Pct","games","games_started","Year","Rnd","Pick","Tm","fumb_lost","coll_int_pct","int_pct","fumb_lost_game"
"21","Brock Osweiler",42,25,"13-12-0",584,987,59.2,6171,31,3.1,27,2.7,72,6.3,5.6,10.6,146.9,76.5,62,429,5.47,4.91,5.9,4,4,0,11,4,-8,0,350,571,28,15,4285,10,4,0.612959719789842,42,25,"2012","2","57","DEN",7,0.0262697022767075,0.027,0.166666666666667
"22","Cam Newton",109,108,"62-45-1",2001,3420,58.5,25074,158,4.6,94,2.7,91,7.3,7,12.5,230,85.3,256,1943,6.29,6,7,13,15,0,47,15,-60,0,191,292,30,7,2908,6,2,0.654109589041096,109,108,"2011","1","1","CAR",32,0.023972602739726,0.027,0.293577981651376
"23","Jake Locker",30,23,"36783",408,709,57.5,4967,27,3.8,22,3.1,71,7,6.4,12.2,165.6,79,60,378,5.97,5.38,7.8,1,3,0,10,3,-17,0,619,1147,53,35,7639,25,14,0.539668700959024,30,23,"2011","1","8","TEN",7,0.030514385353095,0.031,0.233333333333333
"24","Blaine Gabbert",48,45,"11-34-0",781,1397,55.9,8437,44,3.1,43,3.1,80,6,5.3,10.8,175.8,71.5,133,879,4.94,4.25,8.7,5,5,0,32,9,-65,0,568,933,40,18,6822,17,5,0.608788853161844,48,45,"2011","1","10","JAX",23,0.0192926045016077,0.031,0.479166666666667
"25","Christian Ponder",38,36,"14-21-1",632,1057,59.8,6658,38,3.6,36,3.4,72,6.3,5.5,10.5,175.2,75.9,95,501,5.34,4.6,8.2,2,3,0,20,3,-16,0,596,965,49,30,6872,21,13,0.617616580310881,38,36,"2011","1","12","MIN",17,0.0310880829015544,0.034,0.447368421052632
"26","Andy Dalton",109,109,"63-44-2",2217,3556,62.3,25534,167,4.7,93,2.6,86,7.2,6.9,11.5,234.3,88.7,220,1332,6.41,6.19,5.8,17,20,0,37,8,-74,0,812,1317,71,30,10314,27,9,0.616552771450266,109,109,"2011","2","35","CIN",29,0.0227790432801822,0.026,0.26605504587156
"27","Colin Kaepernick",69,58,"28-30-0",1011,1692,59.8,12271,72,4.3,30,1.8,80,7.3,7.3,12.1,177.8,88.9,171,1060,6.02,6.07,9.2,7,7,0,40,12,-39,0,740,1271,82,24,10098,20,13,0.582218725413061,69,58,"2011","2","36","SFO",28,0.018882769472856,0.018,0.405797101449275
"28","Sam Bradford",80,80,"34-45-1",1805,2887,62.5,19049,101,3.5,57,2,80,6.6,6.4,10.6,238.1,85.1,190,1338,5.76,5.58,6.2,7,8,0,47,16,-57,0,604,893,88,16,8403,6,0,0.676371780515118,80,80,"2010","1","1","STL",31,0.0179171332586786,0.02,0.3875
"29","Tim Tebow",35,16,"36744",173,361,47.9,2422,17,4.7,9,2.5,56,6.7,6.5,14,69.2,75.3,41,258,5.38,5.22,10.2,6,6,0,15,4,-5,0,661,995,88,16,9285,17,10,0.664321608040201,35,16,"2010","1","25","DEN",11,0.0160804020100503,0.025,0.314285714285714
"30","Jimmy Clausen",22,14,"36538",255,472,54,2520,7,1.5,14,3,55,5.3,4.3,9.9,114.5,61.9,43,281,4.35,3.4,8.3,0,0,0,10,4,-28,0,695,1110,60,27,8148,14,8,0.626126126126126,22,14,"2010","2","48","CAR",6,0.0243243243243243,0.03,0.272727272727273
"31","Matthew Stafford",125,125,"60-65-0",3005,4850,62,34749,216,4.5,118,2.4,87,7.2,7,11.6,278,88.3,289,1850,6.4,6.21,5.6,26,32,0,57,17,-71,0,564,987,51,33,7731,14,4,0.571428571428571,125,125,"2009","1","1","DET",40,0.033434650455927,0.024,0.32
"32","Mark Sanchez",77,72,"37-35-0",1295,2285,56.7,15219,86,3.8,86,3.8,74,6.7,5.7,11.8,197.6,73.9,161,1048,5.79,4.91,6.6,8,10,0,51,12,-77,0,313,487,41,16,3965,8,3,0.642710472279261,77,72,"2009","1","5","NYJ",39,0.0328542094455852,0.038,0.506493506493506
